accX,accY,accZ,label
-3.4000000000000004,4.7,6.4,andando
-3.4000000000000004,4.7,6.4,andando
-3.1,5.0,6.9,andando
-3.1,5.2,6.9,andando
-3.1,5.5,6.7,andando
-3.2,5.6000000000000005,6.4,andando
-3.3000000000000003,5.7,6.4,andando
-3.4000000000000004,5.7,7.1000000000000005,andando
-3.3000000000000003,5.7,7.5,andando
-3.1,5.800000000000001,8.1,andando
-3.0,5.800000000000001,8.4,andando
-3.0,5.800000000000001,8.3,andando
-2.9000000000000004,6.0,8.0,andando
-2.8000000000000003,6.300000000000001,7.7,andando
-2.7,6.6000000000000005,7.4,andando
-2.7,6.6000000000000005,7.4,andando
-2.8000000000000003,6.6000000000000005,7.7,andando
-2.8000000000000003,6.6000000000000005,7.9,andando
-2.6,6.7,7.9,andando
-2.6,6.7,7.9,andando
-1.8,7.0,7.9,andando
-1.4000000000000001,7.0,7.9,andando
-1.1,7.0,7.9,andando
-0.8,7.0,8.200000000000001,andando
-1.1,7.0,8.8,andando
-1.8,6.7,9.700000000000001,andando
-2.3000000000000003,6.300000000000001,11.0,andando
-2.6,5.7,12.100000000000001,andando
-2.4000000000000004,5.1000000000000005,12.200000000000001,andando
-0.6000000000000001,4.800000000000001,10.600000000000001,andando
-0.5,4.9,10.100000000000001,andando
-0.5,4.800000000000001,9.4,andando
-0.30000000000000004,4.7,8.700000000000001,andando
-0.1,5.0,8.200000000000001,andando
0.2,5.300000000000001,7.7,andando
0.30000000000000004,5.5,7.300000000000001,andando
0.1,5.800000000000001,7.0,andando
-0.1,5.7,7.4,andando
-0.30000000000000004,5.4,8.200000000000001,andando
-0.4,5.2,8.9,andando
-0.4,5.2,8.9,andando
-0.4,5.0,9.4,andando
-0.1,4.6000000000000005,8.9,andando
0.1,4.7,8.200000000000001,andando
0.0,4.7,7.6000000000000005,andando
-0.1,4.7,6.9,andando
-0.30000000000000004,4.6000000000000005,6.4,andando
-0.5,4.800000000000001,6.1000000000000005,andando
-0.7000000000000001,4.9,5.800000000000001,andando
-1.0,5.300000000000001,5.5,andando
-1.0,5.300000000000001,5.5,andando
-1.7000000000000002,5.800000000000001,5.9,andando
-2.0,6.1000000000000005,6.1000000000000005,andando
-2.2,6.2,6.4,andando
-2.3000000000000003,6.4,6.7,andando
-2.6,6.6000000000000005,7.300000000000001,andando
-3.2,6.6000000000000005,8.6,andando
-3.2,6.6000000000000005,8.6,andando
-3.0,6.7,8.8,andando
-2.7,7.0,8.700000000000001,andando
-2.5,7.300000000000001,8.6,andando
-2.8000000000000003,7.4,8.4,andando
-3.1,7.5,8.1,andando
-3.6,7.5,7.9,andando
-4.2,7.0,7.9,andando
-4.2,7.0,7.9,andando
-4.0,5.5,9.3,andando
-3.2,4.9,9.4,andando
-2.3000000000000003,4.7,8.9,andando
-1.4000000000000001,5.0,7.4,andando
-1.4000000000000001,5.0,7.4,andando
-1.7000000000000002,5.2,6.7,andando
-2.1,5.7,6.300000000000001,andando
-2.8000000000000003,6.300000000000001,6.0,andando
-3.6,6.7,5.800000000000001,andando
-4.1000000000000005,6.9,5.5,andando
-4.1000000000000005,6.9,5.1000000000000005,andando
-3.8000000000000003,6.7,4.9,andando
-3.4000000000000004,5.800000000000001,5.9,andando
-3.4000000000000004,5.800000000000001,5.9,andando
-2.4000000000000004,5.4,7.1000000000000005,andando
-2.1,5.4,7.4,andando
-2.2,5.7,7.6000000000000005,andando
-2.7,5.9,7.4,andando
-3.2,5.9,6.800000000000001,andando
-3.4000000000000004,6.0,5.9,andando
-3.4000000000000004,6.0,5.9,andando
-2.7,5.9,6.1000000000000005,andando
-2.4000000000000004,6.0,6.6000000000000005,andando
-2.4000000000000004,6.2,7.300000000000001,andando
-2.4000000000000004,6.2,7.300000000000001,andando
-2.7,6.6000000000000005,7.2,andando
-2.7,6.6000000000000005,7.2,andando
-2.8000000000000003,6.800000000000001,6.6000000000000005,andando
-2.7,6.9,6.5,andando
-2.4000000000000004,6.9,6.800000000000001,andando
-2.0,7.0,7.1000000000000005,andando
-1.7000000000000002,7.2,7.5,andando
-1.5,7.5,7.800000000000001,andando
-1.3,7.9,8.0,andando
-0.9,8.200000000000001,8.3,andando
-0.9,8.200000000000001,8.3,andando
-0.7000000000000001,8.4,9.200000000000001,andando
-1.2000000000000002,7.9,10.4,andando
-1.5,7.2,11.700000000000001,andando
-1.4000000000000001,6.5,12.4,andando
-1.0,5.9,12.0,andando
0.2,6.0,9.4,andando
0.2,6.0,9.4,andando
0.6000000000000001,6.4,7.6000000000000005,andando
0.4,6.7,7.300000000000001,andando
0.1,6.9,7.6000000000000005,andando
-0.4,6.800000000000001,7.7,andando
-0.8,6.6000000000000005,7.7,andando
-0.6000000000000001,6.300000000000001,7.300000000000001,andando
-0.6000000000000001,6.300000000000001,7.300000000000001,andando
-0.30000000000000004,6.0,6.9,andando
-0.2,5.9,6.6000000000000005,andando
-0.30000000000000004,5.7,6.300000000000001,andando
-0.4,5.6000000000000005,6.1000000000000005,andando
-0.6000000000000001,5.5,4.9,andando
-0.6000000000000001,5.5,4.9,andando
-0.7000000000000001,5.5,4.0,andando
-0.8,5.7,4.2,andando
-1.1,5.800000000000001,4.5,andando
-1.4000000000000001,5.9,5.1000000000000005,andando
-1.7000000000000002,6.0,5.6000000000000005,andando
-2.0,6.2,5.800000000000001,andando
-2.4000000000000004,6.5,5.800000000000001,andando
-3.3000000000000003,7.1000000000000005,6.2,andando
-3.3000000000000003,7.1000000000000005,6.2,andando
-3.1,7.2,6.7,andando
-3.0,7.2,7.2,andando
-3.1,7.0,7.800000000000001,andando
-3.3000000000000003,7.0,8.1,andando
-3.3000000000000003,7.1000000000000005,8.200000000000001,andando
-3.2,7.5,7.5,andando
-3.2,7.5,7.5,andando
-3.5,7.5,6.2,andando
-3.8000000000000003,7.2,5.800000000000001,andando
-3.8000000000000003,7.2,5.800000000000001,andando
-3.7,6.800000000000001,6.300000000000001,andando
-3.0,5.800000000000001,8.3,andando
-2.6,5.7,8.6,andando
-2.3000000000000003,5.7,7.7,andando
-2.2,5.7,6.300000000000001,andando
-1.4000000000000001,5.800000000000001,4.1000000000000005,andando
-1.1,5.5,3.0,andando
-1.0,5.9,4.1000000000000005,andando
-1.1,6.300000000000001,6.6000000000000005,andando
-1.1,6.9,8.3,andando
-3.3000000000000003,6.1000000000000005,8.9,andando
-3.3000000000000003,6.1000000000000005,8.9,andando
-3.1,5.6000000000000005,7.1000000000000005,andando
-1.7000000000000002,5.0,6.0,andando
-0.8,4.6000000000000005,5.9,andando
-0.4,4.800000000000001,6.800000000000001,andando
-0.7000000000000001,5.1000000000000005,8.3,andando
-0.9,5.6000000000000005,10.5,andando
-0.9,5.6000000000000005,10.5,andando
-0.1,5.6000000000000005,8.700000000000001,andando
0.0,5.6000000000000005,7.6000000000000005,andando
-0.30000000000000004,5.9,7.0,andando
-0.30000000000000004,6.1000000000000005,6.7,andando
-0.4,6.1000000000000005,6.6000000000000005,andando
-0.4,6.1000000000000005,6.6000000000000005,andando
-0.6000000000000001,6.5,7.2,andando
-1.0,6.6000000000000005,7.300000000000001,andando
-1.3,6.6000000000000005,6.9,andando
-1.2000000000000002,6.7,6.7,andando
-0.7000000000000001,6.800000000000001,6.7,andando
0.30000000000000004,7.0,7.7,andando
0.30000000000000004,7.0,7.7,andando
-0.1,6.4,9.9,andando
0.5,6.4,11.4,andando
1.0,6.7,11.4,andando
1.0,6.7,11.4,andando
0.8,7.9,11.5,andando
0.0,7.5,12.5,andando
-1.0,6.4,13.200000000000001,andando
-0.4,5.5,12.100000000000001,andando
-0.4,5.5,12.100000000000001,andando
0.8,5.7,8.5,andando
0.6000000000000001,5.800000000000001,7.2,andando
0.30000000000000004,6.0,6.7,andando
-0.2,6.300000000000001,6.800000000000001,andando
-1.0,6.5,7.0,andando
-2.0,6.0,7.0,andando
-1.9000000000000001,5.4,6.9,andando
-1.5,4.9,6.800000000000001,andando
-1.5,4.9,6.800000000000001,andando
0.0,4.7,7.5,andando
0.0,4.7,7.5,andando
0.30000000000000004,5.0,7.6000000000000005,andando
-0.1,4.800000000000001,7.0,andando
-0.2,4.7,6.2,andando
-0.1,4.7,5.7,andando
0.0,4.7,5.5,andando
0.1,4.9,5.5,andando
0.1,5.1000000000000005,5.5,andando
-0.4,5.800000000000001,6.0,andando
-0.4,5.800000000000001,6.0,andando
-1.0,6.300000000000001,6.4,andando
-1.6,6.300000000000001,6.7,andando
-2.3000000000000003,6.300000000000001,7.0,andando
-2.7,6.300000000000001,7.5,andando
-2.8000000000000003,6.2,8.0,andando
-2.4000000000000004,6.2,8.3,andando
-1.7000000000000002,6.5,8.3,andando
-0.8,7.5,7.6000000000000005,andando
-1.3,8.1,7.5,andando
-2.3000000000000003,8.5,7.9,andando
-3.3000000000000003,8.4,8.8,andando
-4.0,7.800000000000001,9.9,andando
-4.2,6.800000000000001,11.0,andando
-4.2,6.800000000000001,11.0,andando
-2.8000000000000003,5.1000000000000005,10.200000000000001,andando
-2.0,4.7,9.1,andando
-1.3,4.9,7.800000000000001,andando
-1.1,5.0,6.7,andando
-0.8,5.1000000000000005,5.6000000000000005,andando
-0.4,5.4,4.800000000000001,andando
-0.8,6.300000000000001,4.1000000000000005,andando
-0.8,6.300000000000001,4.1000000000000005,andando
-2.5,6.6000000000000005,5.1000000000000005,andando
-3.2,6.6000000000000005,5.7,andando
-3.6,6.1000000000000005,6.2,andando
-3.3000000000000003,5.7,6.9,andando
-2.5,5.4,7.5,andando
-1.7000000000000002,5.300000000000001,8.0,andando
-1.0,5.5,8.3,andando
-1.3,5.9,8.3,andando
-1.4000000000000001,5.9,7.7,andando
-1.5,6.1000000000000005,7.300000000000001,andando
-1.5,6.300000000000001,6.9,andando
-1.6,6.300000000000001,6.4,andando
-1.8,6.300000000000001,6.0,andando
-1.9000000000000001,6.5,5.800000000000001,andando
-1.8,6.5,6.4,andando
-1.7000000000000002,6.6000000000000005,6.7,andando
-1.7000000000000002,6.6000000000000005,6.7,andando
-1.5,6.7,7.1000000000000005,andando
-1.0,6.7,7.800000000000001,andando
-1.0,6.7,7.800000000000001,andando
-0.9,6.800000000000001,8.6,andando
-0.7000000000000001,6.800000000000001,8.6,andando
-0.30000000000000004,7.0,8.5,andando
-0.1,7.2,8.4,andando
-0.4,7.4,9.200000000000001,andando
-1.1,7.1000000000000005,10.100000000000001,andando
-1.5,6.300000000000001,10.700000000000001,andando
-0.7000000000000001,4.9,10.200000000000001,andando
-0.7000000000000001,4.9,10.200000000000001,andando
0.4,4.9,8.0,andando
0.5,5.0,7.2,andando
0.5,5.1000000000000005,6.6000000000000005,andando
0.7000000000000001,5.300000000000001,6.4,andando
1.1,5.6000000000000005,6.6000000000000005,andando
1.0,6.0,7.1000000000000005,andando
1.0,6.0,7.1000000000000005,andando
-0.4,6.1000000000000005,8.6,andando
-1.0,6.1000000000000005,9.600000000000001,andando
-1.6,5.800000000000001,10.5,andando
-1.9000000000000001,5.4,10.700000000000001,andando
-1.8,5.1000000000000005,10.200000000000001,andando
-1.8,5.1000000000000005,10.200000000000001,andando
-0.7000000000000001,5.0,8.5,andando
-0.30000000000000004,4.9,8.0,andando
-0.1,4.800000000000001,7.5,andando
0.1,4.800000000000001,7.1000000000000005,andando
0.2,4.800000000000001,6.9,andando
0.0,5.1000000000000005,6.6000000000000005,andando
0.0,5.1000000000000005,6.6000000000000005,andando
-0.2,5.300000000000001,6.6000000000000005,andando
-0.2,5.300000000000001,6.6000000000000005,andando
-0.30000000000000004,5.6000000000000005,7.1000000000000005,andando
-0.2,5.6000000000000005,7.5,andando
-0.1,5.7,7.800000000000001,andando
0.0,5.800000000000001,8.3,andando
0.1,5.9,8.700000000000001,andando
-0.1,6.300000000000001,9.4,andando
-0.1,6.300000000000001,9.4,andando
-1.1,6.6000000000000005,10.0,andando
-1.5,6.1000000000000005,10.5,andando
-1.4000000000000001,5.5,10.8,andando
-0.9,5.0,10.600000000000001,andando
-0.30000000000000004,4.5,10.200000000000001,andando
0.4,4.4,9.5,andando
0.4,4.4,9.5,andando
0.30000000000000004,4.4,8.4,andando
0.30000000000000004,4.4,8.4,andando
0.2,5.0,7.1000000000000005,andando
